latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.360346173990983,-5.981290061804916,-1.360469163970037,-5.981290455684324                                                                                                                                                                                    ;5;104;#ff7e2e;Hoche                                     ;Porte de Pantin                           
;;;LineString;-1.36163558733,-5.982300188240171,-1.361560065668531,-5.982224155263848                                                                                                                                                                                        ;9;248;#b6bd00;Marcel Sembat                             ;Porte de Saint-Cloud                      
;;;LineString;-1.361251446463427,-5.981212444563645,-1.361251572420683,-5.981165812867705                                                                                                                                                                                    ;13;334;#6ec4e8;Guy Môquet                                ;Porte de Saint-Ouen                       
;;;LineString;-1.361131596139183,-5.982338875451564,-1.361131789101633,-5.982266964655309                                                                                                                                                                                    ;13;337;#6ec4e8;Malakoff - Plateau de Vanves              ;Porte de Vanves                           
;;;LineString;-1.361264054301131,-5.982369002337761,-1.361264328055507,-5.982267399893497                                                                                                                                                                                    ;12;300;#7852  ;Corentin Celton                           ;Porte de Versailles                       
;;;LineString;-1.360575807562628,-5.981863495830295,-1.360462343853947,-5.981863194824023                                                                                                                                                                                    ;1;18;#ffcd00;Nation                                    ;Porte de Vincennes                        
;;;LineString;-1.360501376725141,-5.981425132883127,-1.360477437413758,-5.981425065073611,-1.360471333280218,-5.981425048724837                                                                                                                                              ;11;276;#704b1c;Télégraphe                                ;Porte des Lilas                           
;;;LineString;-1.360489868901565,-5.981996991462478,-1.36047594457209,-5.982010857551057,-1.360475594832696,-5.982011233416968,-1.360475253358623,-5.982011645092555,-1.360474923186516,-5.982012094490196,-1.360474606619144,-5.982012574002711,-1.360474304812148,-5.982013;8;218;#e19bdf;Michel Bizot                              ;Porte Dorée                               
;;;LineString;-1.361670943177111,-5.981500989663273,-1.361592258623829,-5.981533444588162                                                                                                                                                                                    ;1;14;#ffcd00;Les Sablons                               ;Porte Maillot                             
;;;LineString;-1.361237031849199,-5.981664120988837,-1.36112772330463,-5.981663811037692                                                                                                                                                                                     ;14;345;#62259d;Madeleine                                 ;Pyramides                                 
;;;LineString;-1.361133885595158,-5.981578299846867,-1.361133881556061,-5.981580146224603,-1.361133869436319,-5.981584466359788,-1.361133859905697,-5.981588812389832,-1.361133848832735,-5.981593166029031,-1.361133838928296,-5.981597509773231,-1.361133828344543,-5.98160;7;173;#fa9aba;Opéra                                     ;Pyramides                                 
;;;LineString;-1.360642367942546,-5.98144319623479,-1.360627968466183,-5.981428700778628,-1.360626372248669,-5.981427450071516,-1.360624382603616,-5.981426423586155,-1.360623129298791,-5.981426014468986,-1.360621739455821,-5.981425751140603                             ;11;283;#704b1c;Belleville                                ;Pyrénées                                  
;;;LineString;-1.360576596065916,-5.981525595185377,-1.360576424250074,-5.981589303544394                                                                                                                                                                                    ;2;25;#003ca6;Ménilmontant                              ;Père Lachaise                             
;;;LineString;-1.360638909609291,-5.981589480113787,-1.360576424250074,-5.981589303544394                                                                                                                                                                                    ;3;68;#837902;Rue Saint-Maur                            ;Père Lachaise                             
;;;LineString;-1.360636638406253,-5.982016314486979,-1.360669491333445,-5.982049388568178                                                                                                                                                                                    ;6;120;#6eca97;Bercy                                     ;Quai de la Gare                           
;;;LineString;-1.36078906042516,-5.981945961056129,-1.360789247385723,-5.98187691303931                                                                                                                                                                                      ;5;106;#ff7e2e;Gare d'Austerlitz                         ;Quai de la Rapée                          
;;;LineString;-1.361133885595158,-5.981578299846867,-1.361096799658916,-5.981578193635626                                                                                                                                                                                    ;3;61;#837902;Opéra                                     ;Quatre-Septembre                          
;;;LineString;-1.360867884510563,-5.981699245415252,-1.360867001689397,-5.981699066943722,-1.360864871576817,-5.981698370871777,-1.360862879663541,-5.981697343236214,-1.360861281934231,-5.981696092525319,-1.360848429492973,-5.981683193323665,-1.360847189441865,-5.98168;11;275;#704b1c;Hôtel de Ville                            ;Rambuteau                                 
;;;LineString;-1.361552692008442,-5.982044981604107,-1.361552750645777,-5.982017082068992                                                                                                                                                                                    ;9;227;#b6bd00;Jasmin                                    ;Ranelagh                                  
;;;LineString;-1.360966405364127,-5.982133766992672,-1.361021709730771,-5.982133922773882                                                                                                                                                                                    ;6;135;#6eca97;Denfert-Rochereau                         ;Raspail                                   
;;;LineString;-1.361054849970128,-5.982100936019846,-1.361021709730771,-5.982133922773882                                                                                                                                                                                    ;4;95;#cf009e;Vavin                                     ;Raspail                                   
;;;LineString;-1.361096291288431,-5.982048615606246,-1.361096456929163,-5.981987387916477                                                                                                                                                                                    ;12;291;#7852  ;Notre-Dame-des-Champs                     ;Rennes                                    
;;;LineString;-1.36064378991865,-5.981813970907379,-1.360639146673988,-5.981818595344797,-1.360638796937226,-5.981818969688128,-1.360638455457205,-5.981819382886838,-1.360638126427294,-5.981819831146232,-1.360637808717404,-5.98182031065597,-1.360637506905417,-5.9818208;8;189;#e19bdf;Faidherbe - Chaligny                      ;Reuilly - Diderot                         
;;;LineString;-1.360723382910093,-5.98184701150382,-1.360723349519785,-5.981859343720431,-1.360722007385742,-5.98186255058945,-1.360718802730582,-5.981863877445989,-1.360706112386181,-5.981863841399509,-1.360635590325431,-5.981863653428587                              ;1;11;#ffcd00;Gare de Lyon                              ;Reuilly - Diderot                         
;;;LineString;-1.36075313392897,-5.981721037834471,-1.360753251205848,-5.981677803411165                                                                                                                                                                                     ;5;112;#ff7e2e;Bréguet - Sabin                           ;Richard-Lenoir                            
;;;LineString;-1.361132688274499,-5.981527168832167,-1.361085712821688,-5.981527035873481                                                                                                                                                                                    ;9;255;#b6bd00;Chaussée d'Antin - La Fayette             ;Richelieu - Drouot                        
;;;LineString;-1.361133885595158,-5.981578299846867,-1.361130010535128,-5.981576510986589,-1.361127033487352,-5.981574771969591,-1.361089906450046,-5.981537395967536,-1.36108917209595,-5.981536750049618,-1.361088307581771,-5.98153614486513,-1.36108734366166,-5.98153559;8;193;#e19bdf;Opéra                                     ;Richelieu - Drouot                        
;;;LineString;-1.360688995872117,-5.981271137199456,-1.360704800236439,-5.98128704769474                                                                                                                                                                                     ;7;153;#fa9aba;Crimée                                    ;Riquet                                    
;;;LineString;-1.360462681746849,-5.981741972864914,-1.360455269608209,-5.981735963165126,-1.360454481770785,-5.981735268749556,-1.36045355538821,-5.981734622277069,-1.360452525411272,-5.981734035270975,-1.360451422600584,-5.98173352190713,-1.360450283795398,-5.9817330;9;235;#b6bd00;Porte de Montreuil                        ;Robespierre                               
;;;LineString;-1.361393453936429,-5.981437877024018,-1.361342537720412,-5.981386620719735,-1.361315845409104,-5.981359731485274                                                                                                                                              ;2;27;#003ca6;Villiers                                  ;Rome                                      
;;;LineString;-1.361552933959377,-5.981930074400831,-1.361553030762186,-5.981884537237688,-1.361552783560778,-5.981882521861629,-1.361552100550986,-5.981880386426261,-1.361551084442831,-5.981878386300741,-1.361549842891694,-5.981876776107408,-1.361528174091376,-5.98185;9;226;#b6bd00;La Muette                                 ;Rue de la Pompe                           
;;;LineString;-1.360652607824386,-5.981710626191274,-1.360625214307688,-5.981737901770369                                                                                                                                                                                    ;9;236;#b6bd00;Charonne                                  ;Rue des Boulets                           
;;;LineString;-1.361096616603557,-5.981928288251083,-1.361096727416471,-5.981886881296345                                                                                                                                                                                    ;12;287;#7852  ;Sèvres - Babylone                         ;Rue du Bac                                
;;;LineString;-1.360952054936104,-5.981577783710703,-1.360881592742566,-5.981577584640204                                                                                                                                                                                    ;3;60;#837902;Sentier                                   ;Réaumur - Sébastopol                      
