Geo Point;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.98289217398,-1.36209538302;"{""type"": ""LineString"", ""coordinates"": [[-1.362045857613836, -5.982919888582538, 0.0], [-1.362046733865316, -5.982919909643421, 0.0], [-1.362047376558532, -5.982919905191624, 0.0], [-1.362048020051304, -5.982919893158694, 0.0], [-1.362048662277365, -5.982919876480324, 0.0], [-1.362049303721352, -5.982919853277033, 0.0], [-1.362049944383263, -5.982919823548808, 0.0], [-1.362050583715481, -5.982919790315536, 0.0], [-1.362051221252608, -5.982919748213605, 0.0], [-1.362051860581311, -5.982919701254305, 0.0], [-1.362052496027667, -5.98291964874224, 0.0], [-1.362053130670952, -5.982919590085382, 0.0], [-1.362053766789137, -5.982919525409795, 0.0], [-1.362054400965269, -5.982919454526337, 0.0], [-1.362055031638713, -5.982919378111158, 0.0], [-1.362055663640096, -5.982919298338012, 0.0], [-1.3620562927284, -5.982919209253067, 0.0], [-1.362056922827963, -5.982919115648821, 0.0], [-1.362057548602532, -5.982919017611149, 0.0], [-1.362058175914987, -5.982918912414418, 0.0], [-1.362058800842744, -5.982918802129155, 0.0], [-1.362059424967433, -5.98291868569906, 0.0], [-1.362060046665437, -5.9829185649406, 0.0], [-1.362060666400394, -5.982918438354371, 0.0], [-1.362061285353278, -5.982918305243196, 0.0], [-1.362061901942462, -5.982918166663375, 0.0], [-1.362062518846566, -5.982918022381888, 0.0], [-1.362063133619669, -5.98291787531351, 0.0], [-1.362063746155038, -5.982917720495788, 0.0], [-1.36206435522971, -5.982917559386088, 0.0], [-1.362064965590333, -5.982917395678702, 0.0], [-1.362065572932905, -5.982917224560051, 0.0], [-1.362066177911774, -5.982917047972691, 0.0], [-1.362066782087579, -5.982916865240525, 0.0], [-1.362067383731725, -5.982916680080565, 0.0], [-1.362067983138138, -5.982916487171272, 0.0], [-1.362068580856195, -5.98291629035575, 0.0], [-1.362069177032858, -5.982916086973272, 0.0], [-1.362069769981524, -5.982915879980636, 0.0], [-1.362070362127125, -5.982915666843155, 0.0], [-1.36207095184604, -5.982915449377335, 0.0], [-1.362071539538929, -5.982915227224089, 0.0], [-1.362072124868116, -5.982914999602146, 0.0], [-1.362072707791615, -5.982914767271723, 0.0], [-1.362073288878037, -5.982914526832908, 0.0], [-1.362073866293818, -5.982914283903223, 0.0], [-1.362074442906535, -5.982914034828706, 0.0], [-1.36207501738825, -5.982913782967286, 0.0], [-1.362075588029608, -5.982913524792909, 0.0], [-1.362076156665935, -5.982913261550967, 0.0], [-1.362076722938562, -5.982912992840355, 0.0], [-1.362077287185161, -5.982912719442279, 0.0], [-1.362077848921098, -5.98291244323632, 0.0], [-1.362078406078352, -5.982912160295206, 0.0], [-1.362078963867207, -5.9829118728138, 0.0], [-1.362079516571751, -5.982911580856907, 0.0], [-1.362080068093569, -5.982911282734179, 0.0], [-1.362080615122438, -5.982910983218876, 0.0], [-1.362081159892581, -5.982910676334368, 0.0], [-1.362081701097059, -5.98291036505838, 0.0], [-1.362082241435489, -5.982910048777941, 0.0], [-1.362082777027277, -5.98290972880325, 0.0], [-1.362083311690033, -5.982909404964402, 0.0], [-1.362083841394445, -5.98290907436938, 0.0], [-1.362084368946862, -5.982908741367607, 0.0], [-1.362084892996597, -5.982908402834075, 0.0], [-1.362085415020303, -5.982908059613104, 0.0], [-1.362085933478344, -5.982907712000729, 0.0], [-1.362086448012052, -5.982907359595791, 0.0], [-1.362086959338759, -5.982907003200594, 0.0], [-1.36208746859745, -5.98290664287815, 0.0], [-1.362087972834813, -5.982906276939901, 0.0], [-1.36208847650181, -5.982905907538627, 0.0], [-1.362088975042507, -5.982905534422071, 0.0], [-1.362089468561875, -5.982905155689685, 0.0], [-1.362089961531873, -5.982904773114184, 0.0], [-1.362090449776226, -5.982904386464291, 0.0], [-1.36209093403326, -5.982903996162192, 0.0], [-1.362091415104289, -5.98290360148972, 0.0], [-1.362091892693632, -5.982903200905358, 0.0], [-1.362092366633329, -5.982902797450063, 0.0], [-1.362092837366025, -5.98290239000447, 0.0], [-1.362093304132398, -5.982901978526543, 0.0], [-1.362093767691772, -5.982901563058344, 0.0], [-1.3620942265255, -5.982901143515804, 0.0], [-1.362094680295911, -5.982900719117612, 0.0], [-1.362095133074306, -5.982900291995618, 0.0], [-1.362095579988071, -5.982899860736182, 0.0], [-1.362096024601123, -5.982899422867742, 0.0], [-1.362096463202582, -5.982898983522649, 0.0], [-1.362096899715029, -5.982898540630472, 0.0], [-1.362097329983185, -5.982898093579823, 0.0], [-1.362097759026629, -5.982897641123541, 0.0], [-1.362098182501123, -5.982897186071329, 0.0], [-1.362098600870311, -5.982896726923721, 0.0], [-1.362099015631842, -5.982896264144897, 0.0], [-1.362099427144384, -5.982895798136043, 0.0], [-1.362099833593609, -5.98289532727155, 0.0], [-1.362100235254202, -5.982894853473034, 0.0], [-1.362100633707797, -5.982894375684245, 0.0], [-1.362101027035088, -5.982893894180173, 0.0], [-1.362101416037391, -5.982893408242638, 0.0], [-1.36210180090541, -5.982892921313672, 0.0], [-1.36210218119475, -5.982892427649577, 0.0], [-1.362102557012134, -5.982891932212806, 0.0], [-1.362102927703216, -5.98289143306074, 0.0], [-1.362103294807636, -5.982890929897383, 0.0], [-1.362103655963446, -5.982890424117029, 0.0], [-1.362104012414606, -5.982889913882206, 0.0], [-1.362104365195123, -5.982889401156512, 0.0], [-1.362104713229, -5.982888884736578, 0.0], [-1.36210505611558, -5.982888364981476, 0.0], [-1.362105394698163, -5.982887840412796, 0.0], [-1.36210572804947, -5.982887314029407, 0.0], [-1.362106055894813, -5.982886783909704, 0.0], [-1.362106378571862, -5.982886250834961, 0.0], [-1.362106697662249, -5.982885713748916, 0.0], [-1.362107010825021, -5.982885173665757, 0.0], [-1.362107318798505, -5.982884631007672, 0.0], [-1.362107622405008, -5.982884084676352, 0.0], [-1.362107921243875, -5.982883535030881, 0.0], [-1.362108212235823, -5.982882982663301, 0.0], [-1.362108501455437, -5.982882427909999, 0.0], [-1.362108782996092, -5.982881867393698, 0.0], [-1.362109077733913, -5.9828812816815, 0.0], [-1.362109375173114, -5.982880702219207, 0.0], [-1.362109680585211, -5.982880123198362, 0.0], [-1.362109990806944, -5.982879546731375, 0.0], [-1.362110306872322, -5.98287897478196, 0.0], [-1.362110628823337, -5.982878406589847, 0.0], [-1.362110955879668, -5.982877842493107, 0.0], [-1.362111288884619, -5.982877281013339, 0.0], [-1.362111626678211, -5.982876722467608, 0.0], [-1.362111970632126, -5.982876169600782, 0.0], [-1.362112319037011, -5.982875618886721, 0.0], [-1.362112673728187, -5.982875071570892, 0.0], [-1.362113034304999, -5.982874528012367, 0.0], [-1.362113398785159, -5.982873989626479, 0.0], [-1.362113768876269, -5.982873453076344, 0.0], [-1.362114145085712, -5.982872922965345, 0.0], [-1.362114525028791, -5.982872394204833, 0.0], [-1.362114910836511, -5.982871869581766, 0.0], [-1.362115300230902, -5.982871348969988, 0.0], [-1.362115698168562, -5.982870832262672, 0.0], [-1.362116096951281, -5.982870320939972, 0.0], [-1.362116502125268, -5.982869811114918, 0.0], [-1.362116913016932, -5.982869308088047, 0.0], [-1.362117328781218, -5.982868806474803, 0.0], [-1.362117748090185, -5.98286830963308, 0.0], [-1.362118173305784, -5.982867816168557, 0.0], [-1.362118602066065, -5.982867327475555, 0.0], [-1.362119037049654, -5.982866843321101, 0.0], [-1.362119475261247, -5.982866362776832, 0.0], [-1.36211991845219, -5.982865888608596, 0.0], [-1.362120365039098, -5.982865415009666, 0.0], [-1.362120817744338, -5.982864947849833, 0.0], [-1.362121273656588, -5.98286448468031, 0.0], [-1.362121734695154, -5.982864025226045, 0.0], [-1.362122199995733, -5.982863571345587, 0.0], [-1.362122669346626, -5.982863119976966, 0.0], [-1.36212314447818, -5.982862674266271, 0.0], [-1.362123621698756, -5.982862232102659, 0.0], [-1.362124102822679, -5.982861795111697, 0.0], [-1.362124590950229, -5.982861362321231, 0.0], [-1.362125079943834, -5.982860934535277, 0.0], [-1.362125574781086, -5.982860511266856, 0.0], [-1.362126073689647, -5.982860090130209, 0.0], [-1.362126575658251, -5.982859675644623, 0.0], [-1.36212708266919, -5.982859266394752, 0.0], [-1.362127591811139, -5.982858859931784, 0.0], [-1.362128105615759, -5.982858458683501, 0.0], [-1.362128624020065, -5.98285806379026, 0.0], [-1.362129146074029, -5.982857671768015, 0.0], [-1.362129670070046, -5.982857285953628, 0.0], [-1.362130199255362, -5.982856902714219, 0.0], [-1.362130731563709, -5.982856524985527, 0.0], [-1.362131267775402, -5.982856152429499, 0.0], [-1.362131807068135, -5.98285578614443, 0.0], [-1.36213234994754, -5.982855423870677, 0.0], [-1.362132896413615, -5.982855065608215, 0.0], [-1.362133446023715, -5.982854712476393, 0.0], [-1.362133999453183, -5.982854366037655, 0.0], [-1.362134556257621, -5.982854020548325, 0.0], [-1.362135116417783, -5.982853683251519, 0.0], [-1.362135677781672, -5.982853351740473, 0.0], [-1.36213624475651, -5.982853022065179, 0.0], [-1.362136814285759, -5.982852701300578, 0.0], [-1.362137385946019, -5.982852383322894, 0.0], [-1.362137960750302, -5.982852070475812, 0.0]]}";A01840;C01727;C;RER;1
-5.98218113112,-1.3604666358;"{""type"": ""LineString"", ""coordinates"": [[-1.360323487975768, -5.982566722773547, 0.0], [-1.360336900563127, -5.982324893681248, 0.0], [-1.360337034070167, -5.982322137583433, 0.0], [-1.360337204868308, -5.982319382024175, 0.0], [-1.360337414434237, -5.982316627847721, 0.0], [-1.360337660236226, -5.982313872626365, 0.0], [-1.360337942085401, -5.982311119781075, 0.0], [-1.360338262301724, -5.982308368677698, 0.0], [-1.360338617489206, -5.982305618747093, 0.0], [-1.360339009841891, -5.982302871635693, 0.0], [-1.360339437419486, -5.982300127998706, 0.0], [-1.360339901761641, -5.982297387540074, 0.0], [-1.360340400949048, -5.982294650534836, 0.0], [-1.360340663799555, -5.982293283337746, 0.0], [-1.360340936458398, -5.982291917827278, 0.0], [-1.360341216330884, -5.982290552716009, 0.0], [-1.36034150639137, -5.982289189312341, 0.0], [-1.360341804720548, -5.982287827891366, 0.0], [-1.360342110643033, -5.982286466890607, 0.0], [-1.360342426753523, -5.982285107597488, 0.0], [-1.36034275115369, -5.982283749906911, 0.0], [-1.360343084286163, -5.982282392699574, 0.0], [-1.360343424865039, -5.98228103857324, 0.0], [-1.36034377569488, -5.982279685014215, 0.0], [-1.360344134814401, -5.982278333057746, 0.0], [-1.360344501084608, -5.982276982640804, 0.0], [-1.360344877458876, -5.98227563545196, 0.0], [-1.360345261426455, -5.982274288683331, 0.0], [-1.360345655202377, -5.982272943601286, 0.0], [-1.360346054906045, -5.982271601516227, 0.0], [-1.360346465936715, -5.982270261201834, 0.0], [-1.36034688297908, -5.982268922363943, 0.0], [-1.360347309808802, -5.982267585592777, 0.0], [-1.360347744105918, -5.9822662515225, 0.0], [-1.360348187072384, -5.982264919075806, 0.0], [-1.360348638624252, -5.98226358977318, 0.0], [-1.360349097706478, -5.982262262031087, 0.0], [-1.360349564994442, -5.982260937412006, 0.0], [-1.360350041331422, -5.982259614437565, 0.0], [-1.360350525937102, -5.982258293445792, 0.0], [-1.36035101794722, -5.982256976295264, 0.0], [-1.360351517487694, -5.982255660705281, 0.0], [-1.360352026372905, -5.98225434830135, 0.0], [-1.360352543147153, -5.982253037859133, 0.0], [-1.360353066946174, -5.982251731237119, 0.0], [-1.360353599414548, -5.982250426238702, 0.0], [-1.36035414040537, -5.982249125524669, 0.0], [-1.360354688905564, -5.982247826751323, 0.0], [-1.360355246012154, -5.982246530741904, 0.0], [-1.360355810206479, -5.98224523741233, 0.0], [-1.360356381763269, -5.982243948684283, 0.0], [-1.360356961926457, -5.982242662720137, 0.0], [-1.360357549557045, -5.982241379456918, 0.0], [-1.360358145393377, -5.98224009931671, 0.0], [-1.360358748676125, -5.98223882225752, 0.0], [-1.360359360944936, -5.982237547983299, 0.0], [-1.36035997983787, -5.982236277888391, 0.0], [-1.360360606493927, -5.982235012035871, 0.0], [-1.36036124023772, -5.982233748863236, 0.0], [-1.360361882566926, -5.982232488834656, 0.0], [-1.360362532279587, -5.98223123302741, 0.0], [-1.360363188996041, -5.982229981420544, 0.0], [-1.360363854318892, -5.982228732577619, 0.0], [-1.360364527025203, -5.982227487956028, 0.0], [-1.36036520711497, -5.982226247555821, 0.0], [-1.360365894292476, -5.982225009835486, 0.0], [-1.360366588853442, -5.982223776336536, 0.0], [-1.360367290797864, -5.982222547058945, 0.0], [-1.360368000885076, -5.982221322044761, 0.0], [-1.360368717153791, -5.982220102329202, 0.0], [-1.360369442070881, -5.982218884617393, 0.0], [-1.360370174266496, -5.982217673027516, 0.0], [-1.360370913591825, -5.982216463357307, 0.0], [-1.360371659035699, -5.982215260126106, 0.0], [-1.360372412685322, -5.982214060017967, 0.0], [-1.360373173655446, -5.982212865271556, 0.0], [-1.360373942009029, -5.98221167474648, 0.0], [-1.360374716227413, -5.98221048835872, 0.0], [-1.360375498989238, -5.982209305875282, 0.0], [-1.360376289050579, -5.982208129133635, 0.0], [-1.360377084934744, -5.98220695728956, 0.0], [-1.360377889700046, -5.982205790131039, 0.0], [-1.36037869997147, -5.982204626708665, 0.0], [-1.360379517542407, -5.982203469028172, 0.0], [-1.360380342454833, -5.982202316329254, 0.0], [-1.360381174729734, -5.982201168231835, 0.0], [-1.360382012827462, -5.98220002503195, 0.0], [-1.360382857845039, -5.982198887552915, 0.0], [-1.360383710267067, -5.982197753915125, 0.0], [-1.360384569925648, -5.982196627159522, 0.0], [-1.36038543544903, -5.982195504541234, 0.0], [-1.360386309832563, -5.982194386988578, 0.0], [-1.360387189554325, -5.982193276213098, 0.0], [-1.360388075520553, -5.982192169595902, 0.0], [-1.360388968807285, -5.982191068340446, 0.0], [-1.360389868950906, -5.982189973946159, 0.0], [-1.36039077535998, -5.98218888333013, 0.0], [-1.360391688625947, -5.982187799575231, 0.0], [-1.360392608073419, -5.982186721119059, 0.0], [-1.360393534398768, -5.982185649143918, 0.0], [-1.360394468107581, -5.982184581390134, 0.0], [-1.360395407934941, -5.982183520075435, 0.0], [-1.360396353100529, -5.982182465537824, 0.0], [-1.360397305966287, -5.982181416382971, 0.0], [-1.360398265772882, -5.982180372568829, 0.0], [-1.360399231698023, -5.982179335193707, 0.0], [-1.360400202961394, -5.98217830459575, 0.0], [-1.360401181924934, -5.982177279380486, 0.0], [-1.360402166564394, -5.98217626172362, 0.0], [-1.36040315704767, -5.982175248584211, 0.0], [-1.360404154725529, -5.982174243087203, 0.0], [-1.360405158584894, -5.98217324288891, 0.0], [-1.360406167803475, -5.982172249087617, 0.0], [-1.360407184575318, -5.982171263329895, 0.0], [-1.360408207211963, -5.98217028170949, 0.0], [-1.36040923544058, -5.982169309167927, 0.0], [-1.360410269471039, -5.982168341904049, 0.0], [-1.36041131111772, -5.982167381543362, 0.0], [-1.360412358060656, -5.982166428720067, 0.0], [-1.36074877650792, -5.981864655427017, 0.0]]}";A01842;C01728;D;RER;0
-5.98170240144,-1.36092767529;"{""type"": ""LineString"", ""coordinates"": [[-1.360986594286839, -5.981705653812575, 0.0], [-1.360868756285275, -5.98169914906538, 0.0]]}";A01534;C01371;1;METRO;0
-5.98172871097,-1.36057383954;"{""type"": ""LineString"", ""coordinates"": [[-1.360575695142343, -5.981695038063014, 0.0], [-1.360571983936833, -5.981762383877763, 0.0]]}";A01535;C01372;2;METRO;0
-5.98153511326,-1.36058450832;"{""type"": ""LineString"", ""coordinates"": [[-1.360586261226339, -5.981503307229188, 0.0], [-1.360582755408075, -5.981566919285966, 0.0]]}";A01535;C01372;2;METRO;0
-5.98148506827,-1.36059248732;"{""type"": ""LineString"", ""coordinates"": [[-1.360605325342487, -5.981470106964605, 0.0], [-1.360590815620892, -5.981483110845989, 0.0], [-1.360590082993106, -5.981483861074095, 0.0], [-1.360589389657702, -5.981484754931826, 0.0], [-1.360588749166507, -5.981485753897412, 0.0], [-1.360588180621342, -5.981486829288126, 0.0], [-1.360587698461182, -5.981487947206585, 0.0], [-1.360587316787302, -5.981489072974181, 0.0], [-1.360587055354031, -5.981490172987669, 0.0], [-1.36058692773606, -5.981491215208238, 0.0], [-1.360586261226339, -5.981503307229188, 0.0]]}";A01535;C01372;2;METRO;0
-5.98141741311,-1.36136988105;"{""type"": ""LineString"", ""coordinates"": [[-1.361406590435385, -5.981458460320289, 0.0], [-1.361358426545971, -5.981404609512135, 0.0], [-1.361333178089346, -5.9813763601608, 0.0]]}";A01535;C01372;2;METRO;0
-5.98165532185,-1.36145523703;"{""type"": ""LineString"", ""coordinates"": [[-1.361491760230147, -5.98169898760816, 0.0], [-1.361434114089765, -5.981634534799245, 0.0], [-1.361433511657137, -5.981633761768141, 0.0], [-1.361432958462917, -5.981632862590053, 0.0], [-1.361432468394124, -5.981631868536147, 0.0], [-1.361432049938455, -5.981630812103765, 0.0], [-1.361431717995983, -5.981629726907757, 0.0], [-1.36143148073772, -5.98162864428413, 0.0], [-1.361431350173338, -5.981627595018784, 0.0], [-1.361431338356313, -5.981626616000518, 0.0], [-1.361432444056074, -5.981606546009535, 0.0]]}";A01535;C01372;2;METRO;0
-5.9813040809,-1.36086042463;"{""type"": ""LineString"", ""coordinates"": [[-1.360956512517225, -5.981307186075462, 0.0], [-1.360801490226729, -5.981298623282513, 0.0], [-1.360799465855942, -5.981298765933648, 0.0], [-1.360797299016802, -5.981299336885514, 0.0], [-1.360795250935946, -5.98130024688792, 0.0], [-1.36079358336658, -5.981301404050835, 0.0], [-1.360771195330746, -5.981321464065589, 0.0]]}";A01535;C01372;2;METRO;0
-5.98131124196,-1.36102993647;"{""type"": ""LineString"", ""coordinates"": [[-1.361103361147324, -5.981315298652511, 0.0], [-1.360956511799866, -5.981307185273186, 0.0]]}";A01535;C01372;2;METRO;0
-5.98131607662,-1.36111744339;"{""type"": ""LineString"", ""coordinates"": [[-1.361131524807899, -5.981316854518655, 0.0], [-1.361103361964482, -5.981315298712115, 0.0]]}";A01535;C01372;2;METRO;0
-5.9814472852,-1.36063079037;"{""type"": ""LineString"", ""coordinates"": [[-1.360656255392771, -5.981424463437556, 0.0], [-1.360605325342487, -5.981470106964605, 0.0]]}";A01535;C01372;2;METRO;0
-5.98133326415,-1.36075802723;"{""type"": ""LineString"", ""coordinates"": [[-1.360771195330746, -5.981321464065589, 0.0], [-1.360744859137289, -5.981345064230712, 0.0]]}";A01535;C01372;2;METRO;0
