Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98095348819,-1.36108350072;"{""type"": ""Point"", ""coordinates"": [-1.361083500720731, -5.98095348818784]}";42447;126;CARREFOUR PLEYEL;Carrefour Pleyel;METRO;;A01546;METRO 13;METRO 13-114077;13;345.87127686;446.98229981
-5.9821326495,-1.36113157326;"{""type"": ""Point"", ""coordinates"": [-1.361131573255093, -5.982132649495744]}";43238;563;MONTPARNASSE;Montparnasse;METRO;;A01546;METRO 13;METRO 13-285;13;327.73091436;258.64881275
-5.97980524719,-1.36061212324;"{""type"": ""Point"", ""coordinates"": [-1.360612123241282, -5.979805247187164]}";411440;1054;CREIL;Creil;TRAIN;TRAIN H;A01849;TRAIN H;TRAIN H-502;H;431.57889478;626.61274649
-5.98132456846,-1.36127113834;"{""type"": ""Point"", ""coordinates"": [-1.361271138340587, -5.981324568455565]}";44372;648;PLACE DE CLICHY;Place de Clichy;METRO;;A01546;METRO 13;METRO 13-114065;13;312.51483528;389.24290415
-5.98115377831,-1.36003194586;"{""type"": ""Point"", ""coordinates"": [-1.360031945863079, -5.981153778308053]}";43096;998;BONDY;Bondy;TRAM;TRAM  4;A01761;TRAM 4;TRAM 4-361;4;512.62989613;405.60393345
-5.98088505262,-1.35986350897;"{""type"": ""Point"", ""coordinates"": [-1.359863508972392, -5.980885052618966]}";43128;320;GARGAN;Gargan;TRAM;;A01761;TRAM 4;TRAM 4-414;4;542.00162326;450.14909429
-5.98251081984,-1.36156139982;"{""type"": ""Point"", ""coordinates"": [-1.361561399823885, -5.982510819837341]}";43765;462;LES MOULINEAUX;Les Moulineaux;TRAM;;A01192;TRAM 2;TRAM 2-320;2;255.49510898;201.91951261
-5.98076605328,-1.36076323549;"{""type"": ""Point"", ""coordinates"": [-1.360763235488711, -5.980766053278015]}";44859;761;BASILIQUE DE SAINT-DENIS;Basilique de St-Denis;METRO;;A01546;METRO 13;METRO 13-114081;13;398.85830718;474.14896867
-5.98009362086,-1.36322758189;"{""type"": ""Point"", ""coordinates"": [-1.363227581892648, -5.980093620862079]}";411338;1059;TRIE-CHATEAU;Trie-Chateau;TRAIN;;A01852;TRAIN J;TRAIN J-507;J;9.8572998;603.62969971
-5.98306311846,-1.36104064278;"{""type"": ""Point"", ""coordinates"": [-1.361040642782464, -5.983063118455339]}";42164;8;AÉROPORT ORLY 1-2-3;Aéroport Orly 1-2-3;NAVETTE;;A01551;ORLYVAL;ORLYVAL-449;ORL;334.06957599;108.89165912
