Geo Point;origin_x;origin_y;arrival_x;arrival_y;Geo Shape;IDREFLIGA;IDREFLIGC;LIGNE;MODE_;FOURCHE
-5.9814789817,-1.36142444974;-1,36144;-5,98150;-1,36141;-5,98146;"{""type"": ""LineString"", ""coordinates"": [[-1.361438244167823, -5.981501312309734, 0.0], [-1.361438381686924, -5.981498822153287, 0.0], [-1.361438369932941, -5.98149784199287, 0.0], [-1.361438240423473, -5.981496794309024, 0.0], [-1.361438003248867, -5.981495710162828, 0.0], [-1.361437670103929, -5.981494626041961, 0.0], [-1.361437253229254, -5.98149356855118, 0.0], [-1.361436762779982, -5.981492574474221, 0.0], [-1.36143620956382, -5.981491675674404, 0.0], [-1.361435607130124, -5.981490902641657, 0.0], [-1.361406590435385, -5.981458460320289, 0.0]]}";A01535;C01372;2;METRO;0
-5.98151841714,-1.36143730089;-1,36144;-5,98154;-1,36144;-5,98150;"{""type"": ""LineString"", ""coordinates"": [[-1.361436357602382, -5.981535521974146, 0.0], [-1.361438244167823, -5.981501312309734, 0.0]]}";A01535;C01372;2;METRO;0
-5.98160147337,-1.36058085115;-1,36058;-5,98157;-1,36058;-5,98164;"{""type"": ""LineString"", ""coordinates"": [[-1.360582755408075, -5.981566919285966, 0.0], [-1.360578946890587, -5.981636027452615, 0.0]]}";A01535;C01372;2;METRO;0
-5.98140357447,-1.36067956581;-1,36070;-5,98138;-1,36066;-5,98142;"{""type"": ""LineString"", ""coordinates"": [[-1.360702876597745, -5.981382685919353, 0.0], [-1.3606932753843, -5.98139128887239, 0.0], [-1.360656255392771, -5.981424463437556, 0.0]]}";A01535;C01372;2;METRO;0
-5.98136387508,-1.36072386787;-1,36074;-5,98135;-1,36070;-5,98138;"{""type"": ""LineString"", ""coordinates"": [[-1.360744859137289, -5.981345064230712, 0.0], [-1.360702876597745, -5.981382685919353, 0.0]]}";A01535;C01372;2;METRO;0
-5.98131821386,-1.36115611704;-1,36118;-5,98132;-1,36113;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.36118070928098, -5.981319573191481, 0.0], [-1.361131524807899, -5.981316854518655, 0.0]]}";A01535;C01372;2;METRO;0
-5.98132076817,-1.36120235611;-1,36122;-5,98132;-1,36118;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.361224002948898, -5.981321963149782, 0.0], [-1.36118070928098, -5.981319573191481, 0.0]]}";A01535;C01372;2;METRO;0
-5.98132326577,-1.36124757008;-1,36127;-5,98132;-1,36122;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.36127113720158, -5.981324568392502, 0.0], [-1.361224002948898, -5.981321963149782, 0.0]]}";A01535;C01372;2;METRO;0
-5.98134601744,-1.3613044637;-1,36133;-5,98138;-1,36127;-5,98132;"{""type"": ""LineString"", ""coordinates"": [[-1.361333178089346, -5.9813763601608, 0.0], [-1.361290731478807, -5.981328867982092, 0.0], [-1.361289200341459, -5.981327533767761, 0.0], [-1.361287264874513, -5.981326404415845, 0.0], [-1.361285172966387, -5.981325597737906, 0.0], [-1.361283177778907, -5.981325232599923, 0.0], [-1.36127113720158, -5.981324568392502, 0.0]]}";A01535;C01372;2;METRO;0
-5.98155440022,-1.36143529886;-1,36143;-5,98157;-1,36144;-5,98154;"{""type"": ""LineString"", ""coordinates"": [[-1.361434240127432, -5.981573278470915, 0.0], [-1.361436357602382, -5.981535521974146, 0.0]]}";A01535;C01372;2;METRO;0
