Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36114;-5,98159;-1,361140029;-5,981585107;"{""type"": ""Point"", ""coordinates"": [-1.361140028576829, -5.981585107461671]}";"{""type"": ""Point"", ""coordinates"": [-1.361140028576829, -5.981585107461671]}";42237;608;OPÉRA;Opéra;METRO;;A01541;METRO 8;METRO 8-108041;8;331.2217673;346.37437476
;-1,36113;-5,98167;-1,361129401;-5,981670179;"{""type"": ""Point"", ""coordinates"": [-1.361129400560569, -5.98167017901604]}";"{""type"": ""Point"", ""coordinates"": [-1.361129400560569, -5.98167017901604]}";44579;714;PYRAMIDES;Pyramides;METRO;;A01547;METRO 14;METRO 14-107057;14;332.17220943;332.66203687
;-1,36122;-5,98154;-1,361221935;-5,981538425;"{""type"": ""Point"", ""coordinates"": [-1.361221935344364, -5.981538425396067]}";"{""type"": ""Point"", ""coordinates"": [-1.361221935344364, -5.981538425396067]}";58718;344;HAVRE-CAUMARTIN;Havre-Caumartin;METRO;;A01536;METRO 3;METRO 3-103061;3;318.50778156;354.57289371
;-1,36121;-5,98172;-1,361206762;-5,981717813;"{""type"": ""Point"", ""coordinates"": [-1.361206761917682, -5.981717813023416]}";"{""type"": ""Point"", ""coordinates"": [-1.361206761917682, -5.981717813023416]}";45676;200;CONCORDE;Concorde;METRO;;A01545;METRO 12;METRO 12-101061;12;319.35185101;325.7222238
;-1,3611;-5,98227;-1,361101893;-5,982272717;"{""type"": ""Point"", ""coordinates"": [-1.361101893109159, -5.982272717236451]}";"{""type"": ""Point"", ""coordinates"": [-1.361101893109159, -5.982272717236451]}";44526;700;PORTE DE VANVES;Pte de Vanves;METRO;;A01546;METRO 13;METRO 13-114039;13;331.24808547;235.96364552
;-1,36122;-5,98154;-1,361221935;-5,981538425;"{""type"": ""Point"", ""coordinates"": [-1.361221935344364, -5.981538425396067]}";"{""type"": ""Point"", ""coordinates"": [-1.361221935344364, -5.981538425396067]}";58718;345;HAVRE-CAUMARTIN;Havre-Caumartin;METRO;;A01542;METRO 9;METRO 9-103061;9;318.50778156;354.57289371
;-1,36076;-5,98187;-1,36075765;-5,981873588;"{""type"": ""Point"", ""coordinates"": [-1.360757650482457, -5.981873588080473]}";"{""type"": ""Point"", ""coordinates"": [-1.360757650482457, -5.981873588080473]}";43153;317;GARE DE LYON;Gare de Lyon;METRO;;A01547;METRO 14;METRO 14-338;14;389.95224136;296.80640866
;-1,36099;-5,98171;-1,360986214;-5,981712757;"{""type"": ""Point"", ""coordinates"": [-1.360986214240868, -5.981712756980293]}";"{""type"": ""Point"", ""coordinates"": [-1.360986214240868, -5.981712756980293]}";42587;167;CHÂTELET;Châtelet;METRO;;A01547;METRO 14;METRO 14-111057;14;354.7437006;324.57729189
;-1,36055;-5,98139;-1,360551419;-5,981393174;"{""type"": ""Point"", ""coordinates"": [-1.360551418612405, -5.98139317409338]}";"{""type"": ""Point"", ""coordinates"": [-1.360551418612405, -5.98139317409338]}";44396;651;PLACE DES FÊTES;Place des Fêtes;METRO;;A01550;METRO 7bis;METRO 7bis-111039;7b;427.25628662;371.88372803
;-1,36113;-5,9821;-1,36113311;-5,982099118;"{""type"": ""Point"", ""coordinates"": [-1.361133110357737, -5.982099117759502]}";"{""type"": ""Point"", ""coordinates"": [-1.361133110357737, -5.982099117759502]}";43238;564;MONTPARNASSE;Montparnasse;METRO;;A01537;METRO 4;METRO 4-285;4;327.78140885;264.03006306
